time,close,high,low,open,volumefrom,volumeto
2023-02-28 01:00:00,23431.31,23455.96,23356.81,23422.28,958.22,22432199.59
2023-02-28 02:00:00,23436.62,23470.34,23391.16,23431.31,633.51,14846098.84
2023-02-28 03:00:00,23461.17,23515.29,23436.34,23436.62,692.31,16254162.7
2023-02-28 04:00:00,23418.47,23465.73,23395.43,23461.17,737.12,17262921.22
2023-02-28 05:00:00,23376.95,23444.68,23372.7,23418.47,709.11,16595224.1
2023-02-28 06:00:00,23391.72,23410.16,23370.89,23376.95,495.2,11584386.0
2023-02-28 07:00:00,23235.4,23393.15,23231.54,23391.72,1599.02,37264050.67
2023-02-28 08:00:00,23269.38,23296.81,23211.23,23235.4,988.04,22983191.92
2023-02-28 09:00:00,23275.47,23316.85,23249.95,23269.38,682.68,15896086.14
2023-02-28 10:00:00,23363.79,23382.4,23258.23,23275.47,737.44,17200197.12
2023-02-28 11:00:00,23397.17,23417.81,23342.51,23363.79,897.39,20985961.85
2023-02-28 12:00:00,23454.99,23499.88,23394.41,23397.17,1242.22,29138566.94
2023-02-28 13:00:00,23407.3,23483.49,23379.86,23454.99,1297.47,30377512.31
2023-02-28 14:00:00,23430.6,23566.67,23335.2,23407.3,3082.1,72289122.55
2023-02-28 15:00:00,23523.42,23541.91,23413.87,23430.6,3040.07,71406810.42
2023-02-28 16:00:00,23457.06,23596.23,23433.78,23523.42,1657.2,38962538.37
2023-02-28 17:00:00,23531.08,23553.74,23453.55,23457.06,1212.67,28505078.54
2023-02-28 18:00:00,23480.42,23545.71,23444.66,23531.08,1254.85,29477289.85
2023-02-28 19:00:00,23264.2,23488.73,23225.17,23480.42,2458.83,57356090.25
2023-02-28 20:00:00,23285.63,23340.01,23180.37,23264.2,2144.43,49893391.18
2023-02-28 21:00:00,23144.98,23286.01,23039.39,23285.63,3711.81,85899001.32
2023-02-28 22:00:00,23162.92,23239.49,23115.75,23144.98,1592.35,36916879.17
2023-02-28 23:00:00,23134.2,23195.49,23110.88,23162.92,1517.18,35122139.47
2023-03-01 00:00:00,23101.07,23216.37,23037.24,23134.2,1702.83,39392364.31
2023-03-01 01:00:00,23251.54,23292.66,23088.7,23101.07,1563.24,36261096.89
2023-03-01 02:00:00,23331.39,23332.15,23243.47,23251.54,808.86,18831437.31
2023-03-01 03:00:00,23443.66,23492.11,23314.56,23331.39,2418.51,56644868.46
2023-03-01 04:00:00,23797.25,23828.16,23435.62,23443.66,2699.83,63799629.63
2023-03-01 05:00:00,23694.05,23817.42,23644.05,23797.25,2041.83,48409691.63
2023-03-01 06:00:00,23757.6,23794.33,23673.86,23694.05,1716.9,40757244.18
2023-03-01 07:00:00,23717.75,23761.03,23699.76,23757.6,1116.5,26496095.14
2023-03-01 08:00:00,23872.97,23962.77,23689.03,23717.75,2680.31,63856660.34
2023-03-01 09:00:00,23757.25,23901.73,23733.78,23872.97,1986.36,47284815.88
2023-03-01 10:00:00,23780.72,23783.53,23682.51,23757.25,1055.22,25047459.62
2023-03-01 11:00:00,23737.91,23785.72,23708.45,23780.72,833.18,19788537.82
2023-03-01 12:00:00,23727.17,23818.23,23707.03,23737.91,1370.44,32559205.87
2023-03-01 13:00:00,23696.92,23733.19,23623.54,23727.17,2161.91,51192886.17
2023-03-01 14:00:00,23682.85,23877.12,23601.86,23696.92,3741.63,88770932.86
2023-03-01 15:00:00,23719.01,23766.94,23585.76,23682.85,3445.91,81596860.41
2023-03-01 16:00:00,23703.17,23742.02,23566.93,23719.01,2327.7,55050820.88
2023-03-01 17:00:00,23711.4,23742.76,23681.04,23703.17,1571.14,37260081.97
2023-03-01 18:00:00,23695.71,23721.97,23656.06,23711.4,935.91,22173268.48
2023-03-01 19:00:00,23357.31,23696.45,23344.32,23695.71,2806.96,66056387.0
2023-03-01 20:00:00,23413.48,23469.26,23316.56,23357.31,2040.83,47779381.2
2023-03-01 21:00:00,23560.6,23584.92,23378.87,23413.48,1665.66,39125008.54
2023-03-01 22:00:00,23537.5,23571.52,23452.88,23560.6,1155.0,27153562.89
2023-03-01 23:00:00,23641.2,23667.62,23512.12,23537.5,1440.08,33980756.96
2023-03-02 00:00:00,23609.93,23788.72,23605.41,23641.2,2392.95,56712098.73
2023-03-02 01:00:00,23517.36,23636.31,23461.26,23609.93,1591.77,37493855.45
2023-03-02 02:00:00,23499.22,23544.06,23462.59,23517.36,1075.13,25272248.64
2023-03-02 03:00:00,23500.1,23511.68,23436.2,23499.22,860.37,20204469.32
