time,close,high,low,open,volumefrom,volumeto,Date,Time,volume,marketcap,price_delta
2023-02-25 18:00:00,22983.78,23048.83,22978.43,23045.48,791.21,18204142.76,2023-02-25,18:00:00,18203351.55,418400012284.4328,-61.70000000000073
2023-02-25 19:00:00,22986.08,23016.85,22922.55,22983.78,1167.82,26820914.62,2023-02-25,19:00:00,26819746.8,616507689128.4896,2.3000000000029104
2023-02-25 20:00:00,22921.71,22997.19,22809.89,22986.08,2657.41,60800329.48,2023-02-25,20:00:00,60797672.07,1393647520245.0107,-64.37000000000262
2023-02-25 21:00:00,22944.16,22960.69,22863.96,22921.71,1331.05,30505954.61,2023-02-25,21:00:00,30504623.56,699933503524.5776,22.450000000000728
2023-02-25 22:00:00,23125.11,23160.6,22914.26,22944.16,1435.25,33082929.46,2023-02-25,22:00:00,33081494.21,765046382884.7406,180.95000000000073
2023-02-25 23:00:00,23167.45,23183.34,23111.17,23125.11,1065.24,24662880.14,2023-02-25,23:00:00,24661814.900000002,571376042499.443,42.340000000000146
2023-02-26 00:00:00,23102.5,23168.67,23087.57,23167.45,632.51,14622465.39,2023-02-26,00:00:00,14621832.88,337815506672.47504,-64.95000000000073
2023-02-26 01:00:00,23113.66,23125.82,23079.74,23102.5,453.96,10487767.67,2023-02-26,01:00:00,10487313.709999999,242410696083.3722,11.159999999999854
2023-02-26 02:00:00,23239.14,23244.21,23068.21,23113.66,1156.81,26788125.49,2023-02-26,02:00:00,26786968.68,622532998599.6786,125.47999999999956
2023-02-26 03:00:00,23219.63,23250.58,23196.78,23239.14,916.83,21294654.07,2023-02-26,03:00:00,21293737.240000002,494453988483.3941,-19.5099999999984
2023-02-26 04:00:00,23191.82,23229.36,23164.01,23219.63,536.02,12433966.44,2023-02-26,04:00:00,12433430.42,288366311562.5208,-27.81000000000131
2023-02-26 05:00:00,23138.06,23202.02,23138.06,23191.82,373.49,8655290.83,2023-02-26,05:00:00,8654917.34,200266638541.9898,-53.7599999999984
2023-02-26 06:00:00,23171.53,23172.02,23100.53,23138.06,518.71,12002201.81,2023-02-26,06:00:00,12001683.1,278109379306.4693,33.469999999997526
2023-02-26 07:00:00,23153.83,23202.08,23150.23,23171.53,507.4,11759655.78,2023-02-26,07:00:00,11759148.379999999,272281070788.6374,-17.69999999999709
2023-02-26 08:00:00,23159.72,23174.59,23122.22,23153.83,406.04,9398018.23,2023-02-26,08:00:00,9397612.190000001,217655470761.69562,5.889999999999418
2023-02-26 09:00:00,23277.99,23288.32,23158.62,23159.72,1214.17,28211528.16,2023-02-26,09:00:00,28210313.99,656707670393.1985,118.27000000000044
2023-02-26 10:00:00,23232.36,23280.91,23218.38,23277.99,429.47,9981431.23,2023-02-26,10:00:00,9981001.76,231892203650.6028,-45.63000000000102
2023-02-26 11:00:00,23254.08,23257.5,23210.75,23232.36,398.82,9265889.37,2023-02-26,11:00:00,9265490.549999999,215469732681.1296,21.720000000001164
2023-02-26 12:00:00,23166.09,23278.48,23142.41,23254.08,1111.29,25804330.69,2023-02-26,12:00:00,25803219.400000002,597785447154.3021,-87.9900000000016
2023-02-26 13:00:00,23209.68,23211.35,23148.1,23166.09,452.56,10491830.3,2023-02-26,13:00:00,10491377.74,243512023877.30402,43.590000000000146
2023-02-26 14:00:00,23200.75,23306.33,23192.14,23209.68,1539.19,35783563.75,2023-02-26,14:00:00,35782024.56,830205516672.8125,-8.930000000000291
2023-02-26 15:00:00,23250.45,23250.45,23190.03,23200.75,759.72,17636542.66,2023-02-26,15:00:00,17635782.94,410057553289.197,49.70000000000073
2023-02-26 16:00:00,23186.16,23259.12,23174.98,23250.45,666.62,15472206.65,2023-02-26,16:00:00,15471540.030000001,358741058939.964,-64.29000000000087
