time,close,high,low,open,volumefrom,volumeto,coin_name,coin_symbol,market_cap,volume
2022-10-27 23:00:00,20295.28,20300.84,20215.95,20271.07,2662.25,53964017.49,Bitcoin,BTC,1095214844884.4471,53961355.24
2022-10-28 22:00:00,20637.23,20640.76,20588.65,20599.81,1109.43,22871472.18,Bitcoin,BTC,472003831817.2614,22870362.75
2022-10-28 23:00:00,20599.89,20640.69,20584.12,20637.23,811.16,16716323.99,Bitcoin,BTC,344354435398.3611,16715512.83
2022-10-29 22:00:00,20766.25,20869.53,20715.58,20854.75,3224.97,67025131.22,Bitcoin,BTC,1391860631197.325,67021906.25
2022-10-29 23:00:00,20820.19,20823.73,20738.98,20766.25,1614.67,33568440.86,Bitcoin,BTC,698901316708.9634,33566826.19
2022-10-30 22:00:00,20592.52,20698.81,20523.41,20693.03,3149.9,64828082.67,Bitcoin,BTC,1334973588943.6284,64824932.77
2022-10-30 23:00:00,20630.65,20641.54,20558.97,20592.52,1397.77,28801774.79,Bitcoin,BTC,594199335071.3135,28800377.02
2022-10-31 22:00:00,20477.83,20492.94,20375.77,20407.68,1954.35,39959715.44,Bitcoin,BTC,818288259628.6952,39957761.089999996
2022-10-31 23:00:00,20492.56,20518.43,20464.79,20477.83,2252.25,46150562.68,Bitcoin,BTC,945743174753.6609,46148310.43
2022-11-01 22:00:00,20475.71,20484.46,20431.54,20448.48,1606.01,32847545.38,Bitcoin,BTC,672576813412.7197,32845939.369999997
2022-11-01 23:00:00,20480.27,20501.27,20456.32,20475.71,1139.13,23329780.52,Bitcoin,BTC,477800204090.3404,23328641.39
2022-11-02 22:00:00,20106.53,20169.27,20061.18,20151.65,2527.3,50824074.04,Bitcoin,BTC,1021895769407.4811,50821546.74
2022-11-02 23:00:00,20150.33,20165.34,20075.74,20106.53,2038.31,41043686.91,Bitcoin,BTC,827043835653.1803,41041648.599999994
2022-11-03 22:00:00,20194.35,20268.55,20161.11,20258.9,2481.68,50145340.11,Bitcoin,BTC,1012652549050.3784,50142858.43
2022-11-03 23:00:00,20207.99,20220.81,20164.26,20194.35,1122.76,22672706.68,Bitcoin,BTC,458169829862.3732,22671583.919999998
2022-11-04 22:00:00,21178.88,21206.58,21136.06,21173.95,1888.33,39983121.7,Bitcoin,BTC,846797736509.696,39981233.370000005
2022-11-04 23:00:00,21150.6,21203.26,21135.51,21178.88,1466.49,31038003.86,Bitcoin,BTC,656472404441.3159,31036537.37
2022-11-05 22:00:00,21300.23,21347.78,21292.53,21336.17,667.3,14226450.22,Bitcoin,BTC,303026661769.5506,14225782.92
2022-11-05 23:00:00,21301.57,21312.6,21242.3,21300.23,1121.02,23851625.43,Bitcoin,BTC,508077068710.9251,23850504.41
2022-11-06 22:00:00,21140.37,21174.94,21049.8,21130.06,1946.19,41100361.63,Bitcoin,BTC,868876851992.0032,41098415.440000005
2022-11-06 23:00:00,20910.59,21148.75,20893.65,21140.37,3921.73,82316400.4,Bitcoin,BTC,1721284499040.236,82312478.67
2022-11-07 22:00:00,20463.63,20685.0,20395.49,20683.02,5366.85,110207218.61,Bitcoin,BTC,2255239744964.1543,110201851.76
2022-11-07 23:00:00,20593.73,20608.06,20456.03,20463.63,4980.57,102327808.36,Bitcoin,BTC,2107311256857.5828,102322827.79
2022-11-08 22:00:00,18464.31,18724.99,18385.09,18700.83,5572.56,103432890.21,Bitcoin,BTC,1909816949033.405,103427317.64999999
2022-11-08 23:00:00,18544.7,18639.93,18376.07,18464.31,5159.85,95472118.22,Bitcoin,BTC,1770501790754.434,95466958.37
2022-11-09 22:00:00,15853.92,16033.87,15595.6,15732.48,11868.27,188017419.56,Bitcoin,BTC,2980813128310.6753,188005551.29
2022-11-09 23:00:00,15820.02,15856.04,15546.97,15853.92,11452.2,179825292.63,Bitcoin,BTC,2844839725912.4526,179813840.43
2022-11-10 22:00:00,17783.3,17848.55,17627.95,17810.47,3727.4,66167970.3,Bitcoin,BTC,1176684866235.99,66164242.9
2022-11-10 23:00:00,17559.67,17810.94,17447.94,17783.3,4527.28,79514397.03,Bitcoin,BTC,1396246572095.78,79509869.75
2022-11-11 22:00:00,16874.31,16938.08,16753.74,16757.02,3287.53,55473220.01,Bitcoin,BTC,936072311146.9431,55469932.48
2022-11-11 23:00:00,17007.72,17084.31,16793.58,16874.31,3895.91,65886137.79,Bitcoin,BTC,1120572983413.7388,65882241.88
